day_in_year,hr,mean_power,seq
01/01/2017,0,29197.974683,1
01/01/2017,1,24657.21519,2
01/01/2017,2,22083.037973,3
01/01/2017,3,20811.13924,4
01/01/2017,4,20475.949367,5
01/01/2017,5,20807.088607,6
01/01/2017,6,21648.607595,7
01/01/2017,7,18540.759495,8
01/01/2017,8,19605.06329,9
01/01/2017,9,22905.316455,10
01/01/2017,10,26685.56962,11
01/01/2017,11,29288.101265,12
01/01/2017,12,29889.620255,13
01/01/2017,13,30231.898735,14
01/01/2017,14,29898.734177,15
01/01/2017,15,29218.227847,16
01/01/2017,16,28730.126583,17
01/01/2017,17,34423.291137,18
01/01/2017,18,39619.240507,19
01/01/2017,19,40318.987342,20
01/01/2017,20,40371.645568,21
01/01/2017,21,38712.911392,22
01/01/2017,22,34972.151897,23
01/01/2017,23,30072.911392,24
02/01/2017,0,25303.291138,25
02/01/2017,1,22512.405062,26
02/01/2017,2,20945.822783,27
02/01/2017,3,20097.215188,28
02/01/2017,4,20066.835442,29
02/01/2017,5,20838.481012,30
02/01/2017,6,23307.341773,31
02/01/2017,7,22895.189872,32
02/01/2017,8,24368.607595,33
02/01/2017,9,24505.316455,34
02/01/2017,10,26384.810127,35
02/01/2017,11,28224.810127,36
02/01/2017,12,29581.772152,37
02/01/2017,13,29485.56962,38
02/01/2017,14,28611.64557,39
02/01/2017,15,28971.13924,40
02/01/2017,16,29996.962027,41
02/01/2017,17,37022.784812,42
02/01/2017,18,41747.8481,43
02/01/2017,19,41498.734178,44
02/01/2017,20,41096.708862,45
02/01/2017,21,39461.265823,46
02/01/2017,22,35830.886075,47
02/01/2017,23,30112.405063,48
03/01/2017,0,25269.873417,49
03/01/2017,1,22636.962025,50
03/01/2017,2,21371.139242,51
03/01/2017,3,20557.974682,52
03/01/2017,4,20116.455698,53
03/01/2017,5,21034.93671,54
03/01/2017,6,24105.316455,55
03/01/2017,7,24204.55696,56
03/01/2017,8,25145.316457,57
03/01/2017,9,28354.430378,58
03/01/2017,10,31190.886077,59
03/01/2017,11,33065.316457,60
03/01/2017,12,33998.987342,61
03/01/2017,13,33623.291138,62
03/01/2017,14,32410.126582,63
03/01/2017,15,32293.670887,64
03/01/2017,16,32090.126582,65
03/01/2017,17,37828.86076,66
03/01/2017,18,42768.607593,67
03/01/2017,19,42546.835443,68
03/01/2017,20,42245.06329,69
03/01/2017,21,40194.43038,70
03/01/2017,22,35961.518987,71
03/01/2017,23,30484.050635,72
04/01/2017,0,26271.392407,73
04/01/2017,1,23247.594938,74
04/01/2017,2,22007.088605,75
04/01/2017,3,21329.620252,76
04/01/2017,4,20240,77
04/01/2017,5,21350.886077,78
04/01/2017,6,24277.468355,79
04/01/2017,7,24287.594937,80
04/01/2017,8,25282.025317,81
04/01/2017,9,28268.35443,82
04/01/2017,10,30143.79747,83
04/01/2017,11,32812.151898,84
04/01/2017,12,34139.746835,85
04/01/2017,13,33335.696202,86
04/01/2017,14,32525.56962,87
04/01/2017,15,32316.962027,88
04/01/2017,16,31615.189873,89
04/01/2017,17,37109.873418,90
04/01/2017,18,43216.202533,91
04/01/2017,19,42815.189872,92
04/01/2017,20,42382.784808,93
04/01/2017,21,40226.835443,94
04/01/2017,22,36415.189872,95
04/01/2017,23,30938.734178,96
05/01/2017,0,25979.746835,97
05/01/2017,1,22892.151898,98
05/01/2017,2,21503.797468,99
05/01/2017,3,21075.443038,100
05/01/2017,4,20864.810128,101
05/01/2017,5,21619.240508,102
05/01/2017,6,23991.898737,103
05/01/2017,7,24311.898737,104
05/01/2017,8,25332.658228,105
05/01/2017,9,28410.126583,106
05/01/2017,10,30741.265823,107
05/01/2017,11,32541.772153,108
05/01/2017,12,33379.240508,109
05/01/2017,13,33581.772152,110
05/01/2017,14,32695.696203,111
05/01/2017,15,31992.91139,112
05/01/2017,16,31713.41772,113
05/01/2017,17,37397.468353,114
05/01/2017,18,43572.658227,115
05/01/2017,19,43395.44304,116
05/01/2017,20,42954.936708,117
05/01/2017,21,40561.01266,118
05/01/2017,22,36883.037975,119
05/01/2017,23,31877.468353,120
06/01/2017,0,27172.658228,121
06/01/2017,1,23968.607595,122
06/01/2017,2,22291.64557,123
06/01/2017,3,21861.265823,124
06/01/2017,4,21453.164557,125
06/01/2017,5,21987.8481,126
06/01/2017,6,23874.43038,127
06/01/2017,7,23613.164558,128
06/01/2017,8,24894.177215,129
06/01/2017,9,28254.177217,130
06/01/2017,10,31364.050633,131
06/01/2017,11,33263.797468,132
06/01/2017,12,32281.518988,133
06/01/2017,13,32583.291138,134
06/01/2017,14,32166.075948,135
06/01/2017,15,31565.56962,136
06/01/2017,16,31766.07595,137
06/01/2017,17,37334.683547,138
06/01/2017,18,42924.556962,139
06/01/2017,19,42248.101265,140
06/01/2017,20,41920.000002,141
06/01/2017,21,40153.924048,142
06/01/2017,22,36515.443038,143
06/01/2017,23,31635.443038,144
07/01/2017,0,27193.924052,145
07/01/2017,1,23961.518987,146
07/01/2017,2,22588.35443,147
07/01/2017,3,21849.113925,148
07/01/2017,4,21502.78481,149
07/01/2017,5,22133.670887,150
07/01/2017,6,23711.392405,151
07/01/2017,7,23095.696202,152
07/01/2017,8,24576.202532,153
07/01/2017,9,29736.70886,154
07/01/2017,10,32463.797468,155
